step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,1,0.0000000000e+00,2.6350165974e+09,2.7827504317e+09,2.2243404080e+08,4.6268191545e+09,1.0542498159e+10,3.3269188043e+09,2.0000000000e+30,8.6240016540e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.7219316592e+01,5.7306060380e+00,5.4060616000e-02,9.9672871000e-02,2.9298098800e-01,1.7680000042e-06,0.0000000000e+00,3.0599483000e-02,0.0000000000e+00,1.6329690303e+05,-6.0238770968e+05,-4.3929052903e+03,0.0000000000e+00,8.6450131093e+04,-8.2206928719e-02,1.0956287647e+00,2.7500000000e+00
1,1,2,0.0000000000e+00,2.3365887848e+09,2.6387494943e+09,6.0074147890e+08,4.5018050436e+09,1.0070785111e+10,3.0118638793e+09,2.0000000000e+30,8.6240354279e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.8719736169e+01,1.3541917720e+00,2.7745818000e-02,3.4554757800e-01,4.9267008700e-01,1.5609999977e-06,0.0000000000e+00,3.0678837000e-02,0.0000000000e+00,1.5521446364e+05,-5.7595058089e+05,-9.6367986333e+03,-2.0757569704e-15,5.9276150286e+04,-1.1482781982e-01,1.0396378868e+00,2.7500000000e+00
1,1,3,0.0000000000e+00,2.4059997854e+09,2.6971215321e+09,7.0363406208e+08,4.9586081983e+09,1.0684617891e+10,3.1871187600e+09,2.0000000000e+30,8.6242274766e-04,2.0000000000e+01,0,1.0000000000e+00,2,2.3897567072e-01,0,1.0000000000e+00,3.9765900755e+01,1.0454231770e+00,2.7720507000e-02,9.9336883000e-02,1.8320588900e-01,2.5649999955e-06,0.0000000000e+00,3.0800056999e-02,0.0000000000e+00,1.4949175133e+05,-5.3375310728e+05,-9.3324893009e+03,4.6172042413e-15,5.1888437388e+04,-1.1093675234e-01,1.0012902827e+00,2.7500000000e+00
1,1,4,0.0000000000e+00,2.7077377799e+09,3.0158955082e+09,7.0605664933e+08,5.0968648245e+09,1.0909434784e+10,3.5162120189e+09,2.0000000000e+30,8.6248231237e-04,2.0000000000e+01,0,1.0000000000e+00,2,2.7969709232e-01,0,1.0000000000e+00,4.0856017386e+01,1.0893411120e+00,2.7571821000e-02,1.2322040500e-01,2.2726687100e-01,1.1579999963e-06,0.0000000000e+00,3.1292283000e-02,0.0000000000e+00,1.2393454344e+05,-5.1342382844e+05,-7.4370414549e+03,8.5841178079e-15,4.8235432494e+04,-8.9955772875e-02,8.3020583412e-01,2.7500000000e+00
1,1,5,0.0000000000e+00,3.1647936044e+09,3.3217681905e+09,8.5156168220e+08,5.0324262182e+09,1.1702014137e+10,4.2084246306e+09,2.0000000000e+30,8.6261334622e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.1939967645e+01,1.0831900180e+00,2.7927667000e-02,1.0023912700e-01,2.2263690700e-01,1.2160000011e-06,0.0000000000e+00,3.0734479998e-02,0.0000000000e+00,1.0546769065e+05,-5.1983110489e+05,-6.3613813115e+03,8.2723078771e-15,4.4839962669e+04,-7.6770230533e-02,7.0649062053e-01,2.7500000000e+00
1,1,6,0.0000000000e+00,3.2290507946e+09,3.2988153990e+09,9.9463571448e+08,4.8778369678e+09,1.1939507575e+10,4.3052922132e+09,2.0000000000e+30,8.6284324550e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.3112725731e+01,1.1720175060e+00,2.7700596000e-02,1.0205139200e-01,3.1070707400e-01,1.0720000034e-06,0.0000000000e+00,3.0658628000e-02,0.0000000000e+00,9.9402109851e+04,-5.3348679640e+05,-6.7236910865e+03,3.7486710350e-15,4.1960082972e+04,-7.7246941046e-02,6.6562447486e-01,2.7500000000e+00
1,1,7,0.0000000000e+00,3.0860967570e+09,3.1179039889e+09,1.0544209122e+09,4.7279895594e+09,1.1462701808e+10,4.1003632552e+09,2.0000000000e+30,8.6318609208e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.4207408962e+01,1.0939659750e+00,2.7747014000e-02,1.0341011600e-01,2.3434376600e-01,1.3160000023e-06,0.0000000000e+00,3.0580539000e-02,0.0000000000e+00,9.8422319649e+04,-5.3880092515e+05,-7.4010364893e+03,4.0923468253e-15,3.9767493782e+04,-8.1481248703e-02,6.5882356266e-01,2.7500000000e+00
1,1,8,0.0000000000e+00,2.8698297590e+09,2.8843163312e+09,1.0491785971e+09,4.6035927159e+09,1.0627387061e+10,3.8290294991e+09,2.0000000000e+30,8.6365334148e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.5322976253e+01,1.1148059030e+00,2.7948532000e-02,1.0007714400e-01,2.5074542700e-01,1.2779999992e-06,0.0000000000e+00,3.0697442000e-02,0.0000000000e+00,9.5635168206e+04,-5.3598562256e+05,-7.5664337459e+03,4.6282367269e-15,3.8028769355e+04,-8.1693008676e-02,6.4004580390e-01,2.7500000000e+00
1,1,9,0.0000000000e+00,2.7014084614e+09,2.6985406273e+09,1.0305364112e+09,4.4290466770e+09,9.8991263696e+09,3.5871246353e+09,2.0000000000e+30,8.6426229684e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.6444987490e+01,1.1212011010e+00,2.8350120000e-02,1.0008847600e-01,2.5046585200e-01,1.3140000021e-06,0.0000000000e+00,3.0588589001e-02,0.0000000000e+00,9.0479322587e+04,-5.3242617773e+05,-7.3263660539e+03,4.1603906416e-15,3.6381879001e+04,-7.8416447938e-02,6.0548574149e-01,2.7500000000e+00
1,1,10,0.0000000000e+00,2.5491821108e+09,2.5538003432e+09,1.0170058731e+09,4.2041208461e+09,9.2550265630e+09,3.3759978079e+09,2.0000000000e+30,8.6504063819e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.7498116804e+01,1.0523770760e+00,2.7731060000e-02,1.0047884200e-01,1.9074262000e-01,1.8839999996e-06,0.0000000000e+00,3.0727930999e-02,0.0000000000e+00,8.5232543509e+04,-5.3170132715e+05,-7.0478554519e+03,5.0700022182e-15,3.4712423402e+04,-7.4852279883e-02,5.7032718352e-01,2.7500000000e+00
