step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,1,0.0000000000e+00,2.6404141059e+09,2.7867028540e+09,2.2477351193e+08,4.6445066535e+09,1.0562540854e+10,3.3317433140e+09,2.0000000000e+30,3.9362347514e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.7494630719e+01,6.1132901380e+00,4.2294810000e-02,8.0513754000e-02,3.4230496600e-01,3.7610000021e-06,0.0000000000e+00,2.7118145002e-02,0.0000000000e+00,1.5174130245e+05,-6.0236501414e+05,-4.3720703029e+03,0.0000000000e+00,7.5176739757e+04,-7.8338035235e-02,1.0180037084e+00,2.7500000000e+00
1,1,2,0.0000000000e+00,2.3290184364e+09,2.6296363692e+09,6.2297472105e+08,4.4597132831e+09,1.0037888097e+10,2.9983007763e+09,2.0000000000e+30,3.9363809690e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.8399520188e+01,8.9291752600e-01,1.9347523000e-02,8.6534919000e-02,2.1407301400e-01,1.3749999965e-06,0.0000000000e+00,2.7144722000e-02,0.0000000000e+00,1.4606934317e+05,-5.7617979119e+05,-9.7868442450e+03,-3.3865836083e-16,5.2860679281e+04,-1.1288476798e-01,9.7815155548e-01,2.7500000000e+00
1,1,3,0.0000000000e+00,2.3697923732e+09,2.6480680135e+09,7.3453718335e+08,4.8879965836e+09,1.0527125521e+10,3.1413369100e+09,2.0000000000e+30,3.9371506369e-04,2.0000000000e+01,0,1.0000000000e+00,2,1.0019233322e-01,0,1.0000000000e+00,7.9329834355e+01,9.2953544600e-01,2.0297418000e-02,8.7484939000e-02,2.4791335600e-01,1.7100000065e-06,0.0000000000e+00,2.7157964999e-02,0.0000000000e+00,1.4098753409e+05,-5.3282485146e+05,-9.4488339607e+03,-2.6203735947e-15,4.7658457849e+04,-1.0897410940e-01,9.4412048406e-01,2.7500000000e+00
1,1,4,0.0000000000e+00,2.6340192993e+09,2.9242620839e+09,7.3834844218e+08,5.0190066679e+09,1.0666174511e+10,3.4139214979e+09,2.0000000000e+30,3.9393112698e-04,2.0000000000e+01,0,1.0000000000e+00,3,1.6386536167e-01,0,1.0000000000e+00,8.0293529516e+01,9.6295162000e-01,1.9288486000e-02,9.2191402000e-02,2.8280221700e-01,1.4609999965e-06,0.0000000000e+00,2.7206249999e-02,0.0000000000e+00,1.1548432061e+05,-5.1220364413e+05,-7.4300637894e+03,-5.7558170887e-15,4.5110241127e+04,-8.7182060830e-02,7.7343857112e-01,2.7500000000e+00
1,1,5,0.0000000000e+00,3.0673426080e+09,3.2047029265e+09,8.7821775225e+08,4.9498194465e+09,1.1355256704e+10,4.0800564225e+09,2.0000000000e+30,3.9435449940e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.1331668367e+01,1.0359050220e+00,2.0198626000e-02,1.0661921600e-01,3.1899930300e-01,1.2600000048e-06,0.0000000000e+00,2.8438473002e-02,0.0000000000e+00,9.7772929616e+04,-5.1947319603e+05,-6.2979412883e+03,4.2740217282e-15,4.2318278038e+04,-7.3860981147e-02,6.5481685198e-01,2.7500000000e+00
1,1,6,0.0000000000e+00,3.1318377680e+09,3.1737317300e+09,1.0222624298e+09,4.7978714841e+09,1.1532125448e+10,4.1779545400e+09,2.0000000000e+30,3.9499767167e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.2350701798e+01,1.0182854910e+00,1.9193486000e-02,1.1968659000e-01,3.3614143800e-01,1.2779999992e-06,0.0000000000e+00,2.8843500998e-02,0.0000000000e+00,9.3018069226e+04,-5.3380881897e+05,-6.7257650172e+03,-3.9359952685e-15,3.9686764574e+04,-7.5200782993e-02,6.2273512740e-01,2.7500000000e+00
1,1,7,0.0000000000e+00,2.9981474498e+09,3.0014807039e+09,1.0713712094e+09,4.6328287781e+09,1.1086496641e+10,3.9830633270e+09,2.0000000000e+30,3.9579460589e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.3218203630e+01,8.6673085100e-01,1.9013795000e-02,8.8294728000e-02,1.8649908700e-01,1.2720000058e-06,0.0000000000e+00,2.7628255000e-02,0.0000000000e+00,9.3157598830e+04,-5.3881183100e+05,-7.4519963563e+03,-2.7641399080e-15,3.7879599925e+04,-8.0124709349e-02,6.2343815201e-01,2.7500000000e+00
1,1,8,0.0000000000e+00,2.7893816985e+09,2.7771678576e+09,1.0535646836e+09,4.4898660629e+09,1.0271496279e+10,3.7212434272e+09,2.0000000000e+30,3.9660989460e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.4076096237e+01,8.5710806200e-01,1.9223634000e-02,8.8360894000e-02,1.7871841000e-01,1.6139999985e-06,0.0000000000e+00,2.7189142001e-02,0.0000000000e+00,9.0914889353e+04,-5.3534588472e+05,-7.5838850314e+03,-6.3378655913e-15,3.6495291544e+04,-8.0287043132e-02,6.0832882652e-01,2.7500000000e+00
1,1,9,0.0000000000e+00,2.6072900330e+09,2.5802510181e+09,1.0233834073e+09,4.3163367778e+09,9.4968937325e+09,3.4651120750e+09,2.0000000000e+30,3.9725378594e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.4939969600e+01,8.6227729600e-01,1.9901944000e-02,8.8196130000e-02,1.8289610300e-01,1.1070000028e-06,0.0000000000e+00,2.7551753000e-02,0.0000000000e+00,8.6034465045e+04,-5.3158750899e+05,-7.2780620396e+03,-1.0584272420e-15,3.5144144293e+04,-7.6657607924e-02,5.7564029323e-01,2.7500000000e+00
1,1,10,0.0000000000e+00,2.4320462817e+09,2.4221195127e+09,1.0079023136e+09,4.0939295014e+09,8.7611803911e+09,3.2275351153e+09,2.0000000000e+30,3.9761804519e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.5833776191e+01,8.9304945700e-01,1.9619082000e-02,1.0177685300e-01,2.1599242900e-01,1.6229999886e-06,0.0000000000e+00,2.7219944000e-02,0.0000000000e+00,8.1123688371e+04,-5.3108473161e+05,-6.9547595813e+03,-5.5416535522e-15,3.3715372941e+04,-7.2900949240e-02,5.4275348995e-01,2.7500000000e+00
1,1,11,0.0000000000e+00,2.2510892241e+09,2.2839213542e+09,1.0029258590e+09,3.8486681215e+09,8.0282990447e+09,2.9926942307e+09,2.0000000000e+30,3.9763533362e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.6710616314e+01,8.7609068900e-01,1.9997013000e-02,8.7210211000e-02,1.9667618300e-01,1.7520000029e-06,0.0000000000e+00,2.7119122001e-02,0.0000000000e+00,7.7313772476e+04,-5.3209643735e+05,-6.7585974454e+03,-1.5479128391e-15,3.2292613171e+04,-7.0353674103e-02,5.1722136154e-01,2.7500000000e+00
1,1,12,0.0000000000e+00,2.0616803373e+09,2.1737486245e+09,9.9252384894e+08,3.5962910023e+09,7.2999810447e+09,2.7517733357e+09,2.0000000000e+30,3.9731136937e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.7565250839e+01,8.5386531200e-01,2.0400136000e-02,8.7855078000e-02,1.7409823600e-01,2.1519999933e-06,0.0000000000e+00,2.7292082001e-02,0.0000000000e+00,7.4120771711e+04,-5.3230925247e+05,-6.5856095110e+03,-3.4480937378e-15,3.0954740092e+04,-6.8161160515e-02,4.9582625779e-01,2.7500000000e+00
1,1,13,0.0000000000e+00,1.8678403432e+09,2.0840899550e+09,9.6175215832e+08,3.3469853958e+09,6.6092023345e+09,2.5119797009e+09,2.0000000000e+30,3.9671357776e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.8439439602e+01,8.7343059000e-01,1.9726722000e-02,8.7481213000e-02,1.9525712700e-01,1.0819999972e-06,0.0000000000e+00,2.7265701999e-02,0.0000000000e+00,7.0907998513e+04,-5.3141432076e+05,-6.3294660578e+03,-1.5940722324e-15,2.9705185242e+04,-6.5403618678e-02,4.7432515448e-01,2.7500000000e+00
1,1,14,0.0000000000e+00,1.6914639949e+09,2.0261980052e+09,9.1882734297e+08,3.1001474185e+09,6.0406111992e+09,2.2924851157e+09,2.0000000000e+30,3.9594122918e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.9353342778e+01,9.1310868100e-01,1.9667159000e-02,8.8223020000e-02,2.3498080400e-01,1.1959999995e-06,0.0000000000e+00,2.7262161001e-02,0.0000000000e+00,6.7604157367e+04,-5.3028461218e+05,-5.9881948543e+03,1.0647903144e-15,2.8518143173e+04,-6.2044792298e-02,4.5223971700e-01,2.7500000000e+00
1,1,15,0.0000000000e+00,1.5560668191e+09,2.0230351418e+09,8.7620791465e+08,2.8593789575e+09,5.6926881106e+09,2.1321093066e+09,2.0000000000e+30,3.9508929447e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.0316832372e+01,9.6273520700e-01,2.0333718000e-02,8.9525612000e-02,2.8237316100e-01,1.3040000084e-06,0.0000000000e+00,2.7969205999e-02,0.0000000000e+00,6.4429473009e+04,-5.2945949943e+05,-5.6047862020e+03,-1.5391788922e-15,2.7382746349e+04,-5.8444560069e-02,4.3103556635e-01,2.7500000000e+00
1,1,16,0.0000000000e+00,1.5099259172e+09,2.0681805076e+09,8.4450988989e+08,2.6249181331e+09,5.6782207240e+09,2.0730802209e+09,2.0000000000e+30,3.9422077090e-04,2.0000000000e+01,0,1.0000000000e+00,1,9.6045502454e-01,0,1.0000000000e+00,9.1236862578e+01,9.1927220800e-01,2.0444859000e-02,8.7436649000e-02,2.4069814300e-01,1.7589999999e-06,0.0000000000e+00,2.7112658003e-02,0.0000000000e+00,6.1505652814e+04,-5.2883788083e+05,-5.2022787495e+03,-1.8252896240e-15,2.6303869609e+04,-5.4796972360e-02,4.1152291145e-01,2.7500000000e+00
1,1,17,0.0000000000e+00,1.5388445708e+09,2.1225398505e+09,8.2913956419e+08,2.3954920576e+09,5.8711102358e+09,2.0925134796e+09,2.0000000000e+30,3.9335722926e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.2158973509e+01,9.2129163600e-01,1.9049383000e-02,1.2430296000e-01,2.3818316900e-01,1.4130000068e-06,0.0000000000e+00,2.7528142000e-02,0.0000000000e+00,5.8804714292e+04,-5.2816884347e+05,-4.7764640117e+03,-3.1862891711e-15,2.5286433686e+04,-5.1064726333e-02,3.9351512096e-01,2.7500000000e+00
1,1,18,0.0000000000e+00,1.6042560439e+09,2.1507240921e+09,8.1975097423e+08,2.1761452804e+09,6.1180105295e+09,2.1513637843e+09,2.0000000000e+30,3.9248688540e-04,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.2962535977e+01,8.0278402400e-01,1.9657300000e-02,8.7535443000e-02,1.2124718200e-01,1.3160000094e-06,0.0000000000e+00,2.7270933001e-02,0.0000000000e+00,5.6273301852e+04,-5.2740104638e+05,-4.3202827291e+03,-4.8518587670e-15,2.4328968903e+04,-4.7183179592e-02,3.7665602419e-01,2.7500000000e+00
