step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,1,0.0000000000e+00,2.6343877245e+09,2.7797075204e+09,2.2379048766e+08,4.6539011668e+09,1.0537264460e+10,3.3319165776e+09,2.0000000000e+30,1.7789580042e-03,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.8445851968e+01,3.8142093220e+00,2.6580044000e-02,5.0117455000e-02,1.7972798900e-01,1.4509999993e-06,0.0000000000e+00,1.4530845000e-02,0.0000000000e+00,1.3317511465e+05,-6.0232402920e+05,-4.3383293032e+03,0.0000000000e+00,5.6894740414e+04,-7.2120164050e-02,8.9328493049e-01,2.7500000000e+00
1,1,2,0.0000000000e+00,2.2839181258e+09,2.5870435022e+09,6.0393061622e+08,4.3966813007e+09,9.8954782542e+09,2.9324167452e+09,2.0000000000e+30,1.7789580242e-03,2.0000000000e+01,0,1.0000000000e+00,1,3.0686395958e-01,0,1.0000000000e+00,1.9049174143e+01,5.4737337900e-01,1.2836829000e-02,5.0702868000e-02,1.7508443000e-01,1.5690000019e-06,0.0000000000e+00,1.4593856001e-02,0.0000000000e+00,1.3105749511e+05,-5.7658699468e+05,-1.0044887799e+04,-2.1053908525e-15,4.2302352145e+04,-1.0977410085e-01,8.7721706090e-01,2.7500000000e+00
1,1,3,0.0000000000e+00,2.2665218917e+09,2.5266439802e+09,7.3342043915e+08,4.7827281125e+09,1.0126567879e+10,2.9933229989e+09,2.0000000000e+30,1.7789581789e-03,2.0000000000e+01,0,1.0000000000e+00,3,2.7227872608e-01,0,1.0000000000e+00,1.9593151826e+01,5.4318383200e-01,1.2736660000e-02,8.1735549000e-02,1.7406491600e-01,2.2330000000e-06,0.0000000000e+00,1.4569774000e-02,0.0000000000e+00,1.2669219410e+05,-5.3125081502e+05,-9.6449260006e+03,2.0894425222e-15,4.0178476790e+04,-1.0567845806e-01,8.4801955982e-01,2.7500000000e+00
1,1,4,0.0000000000e+00,2.4912723965e+09,2.7406064716e+09,7.4832025639e+08,4.8695613528e+09,1.0090127708e+10,3.2116460824e+09,2.0000000000e+30,1.7789590689e-03,2.0000000000e+01,0,1.0000000000e+00,2,1.2435834057e-01,0,1.0000000000e+00,2.0214204841e+01,6.2042497900e-01,1.2799145000e-02,5.5273999000e-02,2.5058931900e-01,2.1060000002e-06,0.0000000000e+00,1.4576326000e-02,0.0000000000e+00,1.0099723412e+05,-5.1018084871e+05,-7.4069246745e+03,6.6008060167e-15,3.9343498991e+04,-8.2351715354e-02,6.7612021763e-01,2.7500000000e+00
1,1,5,0.0000000000e+00,2.8816160497e+09,2.9499503547e+09,8.6104882694e+08,4.7604760855e+09,1.0631020835e+10,3.8134664642e+09,2.0000000000e+30,1.7789630560e-03,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.0693396530e+01,4.7845972300e-01,1.2943634000e-02,5.1023329000e-02,1.0581836300e-01,1.6390000006e-06,0.0000000000e+00,1.4484931000e-02,0.0000000000e+00,8.4397057746e+04,-5.1898439031e+05,-6.1797890470e+03,1.0156639009e-14,3.7722530943e+04,-6.8750909347e-02,5.6499441916e-01,2.7500000000e+00
1,1,6,0.0000000000e+00,2.9255861072e+09,2.8912640415e+09,9.8532487545e+08,4.5666187565e+09,1.0702774573e+10,3.8808262176e+09,2.0000000000e+30,1.7789780150e-03,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.1235146509e+01,5.4114744700e-01,1.2735414000e-02,5.0563709000e-02,1.7149146800e-01,1.4259999972e-06,0.0000000000e+00,1.4548499000e-02,0.0000000000e+00,8.1783568844e+04,-5.3441459723e+05,-6.7362982346e+03,3.4053084496e-15,3.5688576587e+04,-7.1646241589e-02,5.4725713477e-01,2.7500000000e+00
1,1,7,0.0000000000e+00,2.7643395797e+09,2.6872969450e+09,1.0201913436e+09,4.3635285965e+09,1.0104709123e+10,3.6555820123e+09,2.0000000000e+30,1.7790267797e-03,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.1787744354e+01,5.5185024600e-01,1.2687311000e-02,5.0775797000e-02,1.8081670700e-01,1.1639999968e-06,0.0000000000e+00,1.4596171000e-02,0.0000000000e+00,8.3694821390e+04,-5.3870426269e+05,-7.5456912992e+03,4.2913943183e-15,3.4231367261e+04,-7.7700581628e-02,5.5983595074e-01,2.7500000000e+00
1,1,8,0.0000000000e+00,2.5211186041e+09,2.4492739431e+09,9.9674865753e+08,4.1702804801e+09,9.1481502952e+09,3.3465552177e+09,2.0000000000e+30,1.7791677675e-03,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2332317568e+01,5.4398310600e-01,1.2486126000e-02,5.0573595000e-02,1.7404416700e-01,1.0239999995e-06,0.0000000000e+00,1.4597845000e-02,0.0000000000e+00,8.2188981354e+04,-5.3402176572e+05,-7.6001273582e+03,4.4264976617e-15,3.3435594236e+04,-7.7580363595e-02,5.4970198766e-01,2.7500000000e+00
1,1,9,0.0000000000e+00,2.3010567510e+09,2.2456586650e+09,9.7055935937e+08,3.9550892039e+09,8.2301691111e+09,3.0442415668e+09,2.0000000000e+30,1.7795342309e-03,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2812662662e+01,4.7955485600e-01,1.2288424000e-02,5.0565465000e-02,1.0988403100e-01,1.8449999999e-06,0.0000000000e+00,1.4488888000e-02,0.0000000000e+00,7.7636933189e+04,-5.2994906044e+05,-7.1595758604e+03,4.9660960312e-15,3.2626929230e+04,-7.3151772630e-02,5.1926299702e-01,2.7500000000e+00
1,1,10,0.0000000000e+00,2.0917179389e+09,2.0906560248e+09,9.5648666700e+08,3.7013183127e+09,7.3704515989e+09,2.7696985929e+09,2.0000000000e+30,1.7804017068e-03,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3326422293e+01,5.1314328800e-01,1.2567137000e-02,9.2907514000e-02,1.4233331800e-01,2.3660000004e-06,0.0000000000e+00,1.4592577000e-02,0.0000000000e+00,7.3237221716e+04,-5.2986457966e+05,-6.7451991233e+03,7.7798794271e-15,3.1666668331e+04,-6.8948184671e-02,4.8983897438e-01,2.7500000000e+00
