step,iStep,iterAll,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,1,1,0.0000000000e+00,7.2846334189e+05,4.9322859724e+05,6.4021326900e+05,7.3560831485e+05,2.3862852918e+06,7.9402060631e+07,2.0000000000e+30,6.3466490300e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.6860409508e+02,2.6418445203e+01,7.6119699870e+00,2.1696122430e+00,3.9928130000e+00,2.7450000175e-06,0.0000000000e+00,1.1763978720e+00,0.0000000000e+00,-5.4263026816e+02,-5.0372394608e+05,8.1730325220e+04,2.7490641770e-18,3.1021471431e+04,5.4924830412e-01,2.2728428031e-02,2.7500000000e+00
1,1,2,2,0.0000000000e+00,3.2286472718e+05,2.4616992383e+05,1.6733536044e+05,1.9030830144e+05,1.0259476578e+06,6.8963392844e+07,2.0000000000e+30,6.3496446071e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.7638917169e+02,7.7252097240e+00,2.8808161600e-01,2.2447277200e+00,2.1552369980e+00,2.6980000030e-06,0.0000000000e+00,1.2094086730e+00,0.0000000000e+00,-5.1769951564e+02,-5.0366229893e+05,8.1747866997e+04,4.4580651940e-18,6.7324274299e+03,5.4935810669e-01,2.2901576159e-02,2.7500000000e+00
1,1,3,3,0.0000000000e+00,2.6270659952e+05,1.4639479608e+05,9.8038528813e+04,1.2645835501e+05,8.0496843161e+05,6.8040785302e+07,2.0000000000e+30,6.3495431731e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.8398166219e+02,7.5915858670e+00,2.9041569200e-01,2.2133589230e+00,2.0170689960e+00,3.3910000070e-06,0.0000000000e+00,1.2093985180e+00,0.0000000000e+00,-5.0752177307e+02,-5.0363653443e+05,8.1770881238e+04,6.0302344230e-18,1.6897068584e+04,5.4950943457e-01,2.2977377894e-02,2.7500000000e+00
1,1,4,4,0.0000000000e+00,2.4873551066e+05,1.3447314486e+05,7.8987044481e+04,9.9030205951e+04,7.1287709639e+05,6.8361364595e+07,2.0000000000e+30,6.3527138149e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.9173574302e+02,7.7532665660e+00,2.9015366200e-01,2.2099336090e+00,2.1745139760e+00,3.3210000083e-06,0.0000000000e+00,1.2124563140e+00,0.0000000000e+00,-4.8923269103e+02,-5.0359359961e+05,8.1804613749e+04,4.0132852721e-18,2.1076909717e+04,5.4973015146e-01,2.3111131208e-02,2.7500000000e+00
1,1,5,5,0.0000000000e+00,2.5403984861e+05,1.2215655494e+05,6.7723994407e+04,8.6300816365e+04,6.2362581548e+05,6.8305728181e+07,2.0000000000e+30,6.3553211531e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.9954225900e+02,7.8056915730e+00,2.9212834400e-01,2.2032542710e+00,2.2332486360e+00,2.4360000168e-06,0.0000000000e+00,1.2020390530e+00,0.0000000000e+00,-4.6632036422e+02,-5.0354999979e+05,8.1846745353e+04,2.9765315170e-18,2.1181936880e+04,5.5000580248e-01,2.3278654319e-02,2.7500000000e+00
1,1,6,6,0.0000000000e+00,2.5751359816e+05,1.1258215543e+05,5.9946248516e+04,7.8716407020e+04,5.5077285382e+05,6.8217779168e+07,2.0000000000e+30,6.3584629881e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.0721579272e+02,7.6727132670e+00,2.9420730300e-01,2.2029457960e+00,2.1013660670e+00,2.6149999997e-06,0.0000000000e+00,1.2089070180e+00,0.0000000000e+00,-4.4864305105e+02,-5.0349425665e+05,8.1912709259e+04,5.1045492692e-18,2.1520307467e+04,5.5044325081e-01,2.3418698579e-02,2.7500000000e+00
1,1,7,7,0.0000000000e+00,2.5423205485e+05,1.0664452243e+05,5.4536188071e+04,7.3186697570e+04,4.9294350779e+05,6.8216726370e+07,2.0000000000e+30,6.3606730982e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.1507115368e+02,7.8543909780e+00,2.9128130500e-01,2.2160430630e+00,2.2839964220e+00,3.1280000030e-06,0.0000000000e+00,1.2084285120e+00,0.0000000000e+00,-4.3761307606e+02,-5.0341593325e+05,8.1973738713e+04,4.6647960494e-18,2.1942000421e+04,5.5084969400e-01,2.3512492981e-02,2.7500000000e+00
1,1,8,8,0.0000000000e+00,2.4673029302e+05,1.0146993332e+05,5.0424322208e+04,6.8802431312e+04,4.4820589720e+05,6.8353395443e+07,2.0000000000e+30,6.3620659173e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2286074598e+02,7.7887092130e+00,2.9376558400e-01,2.2186265780e+00,2.2029153640e+00,5.8829999716e-06,0.0000000000e+00,1.2129965060e+00,0.0000000000e+00,-4.2161583188e+02,-5.0336543658e+05,8.2033909726e+04,8.0211549661e-18,2.1927284318e+04,5.5124876719e-01,2.3639381023e-02,2.7500000000e+00
1,1,9,9,0.0000000000e+00,2.3676370282e+05,9.6612293148e+04,4.7261400936e+04,6.5461208840e+04,4.1671565918e+05,6.8604293546e+07,2.0000000000e+30,6.3624905236e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3060144771e+02,7.7398303960e+00,2.8959043800e-01,2.2056153190e+00,2.1404646450e+00,3.2089999991e-06,0.0000000000e+00,1.2387763530e+00,0.0000000000e+00,-3.9520467711e+02,-5.0335670025e+05,8.2083056692e+04,6.1949843995e-18,2.2419008468e+04,5.5157041912e-01,2.3832673455e-02,2.7500000000e+00
1,1,10,10,0.0000000000e+00,2.2511352158e+05,9.2401623965e+04,4.4845163569e+04,6.2764282569e+04,4.0319154159e+05,6.8982303404e+07,2.0000000000e+30,6.3622976342e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3832561133e+02,7.7233368410e+00,2.8982448000e-01,2.2172032980e+00,2.1379079590e+00,2.6719999937e-06,0.0000000000e+00,1.2073506810e+00,0.0000000000e+00,-3.6153517590e+02,-5.0338090377e+05,8.2124354579e+04,4.8196911964e-18,2.2376433682e+04,5.5183699787e-01,2.4072195397e-02,2.7500000000e+00
