step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,1,0.0000000000e+00,2.6360390256e+08,2.8100917508e+08,6.7269817885e+07,4.4907822934e+08,1.1082688514e+09,4.4352612945e+08,2.0000000000e+30,9.1437196893e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.5199833091e+02,1.7297622940e+01,5.4326268060e+00,1.6693842770e+00,1.2236677260e+00,5.0189999854e-06,0.0000000000e+00,1.0075182870e+00,0.0000000000e+00,-1.5161538518e+02,-5.0395715060e+05,7.4426241582e+04,-2.5220038568e-18,3.0922385561e+04,5.0007237833e-01,2.2561938441e-02,2.7000000000e+00
1,1,2,0.0000000000e+00,2.7280913941e+08,2.9158522961e+08,9.4602641963e+07,5.0223524750e+08,1.1228359680e+09,4.4772602249e+08,2.0000000000e+30,9.1384619908e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.5642750299e+02,4.3659809770e+00,2.4209921600e-01,1.6808208530e+00,6.5131190300e-01,5.5900000291e-06,0.0000000000e+00,1.0324026470e+00,0.0000000000e+00,-1.2338135625e+02,-5.0391455109e+05,7.4437186112e+04,-2.0614176943e-18,1.6783330344e+04,5.0013696251e-01,2.2755093160e-02,2.7000000000e+00
1,1,3,0.0000000000e+00,2.4637093767e+08,2.5102290884e+08,9.5724815531e+07,4.3141171286e+08,8.8179712165e+08,4.1407627932e+08,2.0000000000e+30,9.1138430922e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.6078357823e+02,4.3553684760e+00,2.3586030200e-01,1.6940450820e+00,6.4124644500e-01,4.4439999556e-06,0.0000000000e+00,1.0296812990e+00,0.0000000000e+00,-1.0481895935e+02,-5.0388997990e+05,7.4454554149e+04,-6.5736083551e-18,1.9799627337e+04,5.0024776657e-01,2.2885305273e-02,2.7000000000e+00
1,1,4,0.0000000000e+00,1.7724819729e+08,2.1974855773e+08,8.1997425470e+07,3.2927097473e+08,6.3259014111e+08,3.2313192417e+08,2.0000000000e+30,9.1043171620e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.6519048738e+02,4.4065965320e+00,2.3699488300e-01,1.7124856550e+00,7.0461729700e-01,4.8549999860e-06,0.0000000000e+00,1.0274925440e+00,0.0000000000e+00,-9.0135272315e+01,-5.0386949946e+05,7.4476906099e+04,-5.0739883869e-18,2.0563446527e+04,5.0039328339e-01,2.2991037768e-02,2.7000000000e+00
1,1,5,0.0000000000e+00,1.9875703726e+08,2.4049918868e+08,8.2766349712e+07,2.3451110388e+08,7.3949345688e+08,3.5121368513e+08,2.0000000000e+30,9.0753625326e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.6963100621e+02,4.4398274790e+00,2.9407009900e-01,1.6833222110e+00,6.8727961100e-01,8.1080000029e-06,0.0000000000e+00,1.0285627370e+00,0.0000000000e+00,-7.2371582114e+01,-5.0384578245e+05,7.4503659318e+04,-4.3323288509e-18,2.0850817385e+04,5.0056739379e-01,2.3118857377e-02,2.7000000000e+00
1,1,6,0.0000000000e+00,2.0116515602e+08,1.8090026922e+08,5.9519666036e+07,1.4787114521e+08,6.9422764878e+08,3.5186635374e+08,2.0000000000e+30,9.0625639407e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.7410306208e+02,4.4717486300e+00,2.3721912200e-01,1.6869680550e+00,7.6176026200e-01,6.1039999935e-06,0.0000000000e+00,1.0287824320e+00,0.0000000000e+00,-4.9924245450e+01,-5.0382191636e+05,7.4535349723e+04,-4.7858283024e-18,2.1133984270e+04,5.0077319020e-01,2.3279707792e-02,2.7000000000e+00
1,1,7,0.0000000000e+00,1.7666325263e+08,9.8767974199e+07,3.9850892025e+07,9.2267607010e+07,5.0506796571e+08,3.0939623359e+08,2.0000000000e+30,9.0311458099e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.7854049509e+02,4.4365703920e+00,2.3380363300e-01,1.7170811920e+00,7.2682590000e-01,7.5469999956e-06,0.0000000000e+00,1.0295721180e+00,0.0000000000e+00,-2.5677208008e+01,-5.0379704350e+05,7.4572904354e+04,-3.2842784809e-18,2.1393995128e+04,5.0101781455e-01,2.3454507265e-02,2.7000000000e+00
1,1,8,0.0000000000e+00,1.5061758179e+08,5.3574149346e+07,3.8613304687e+07,6.9386769785e+07,3.5309783088e+08,2.7652418299e+08,2.0000000000e+30,9.0180868428e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.8292804952e+02,4.3868723060e+00,2.3544441500e-01,1.6805620900e+00,6.7251088300e-01,1.0716999981e-05,0.0000000000e+00,1.0317245450e+00,0.0000000000e+00,-2.3003837147e+00,-5.0376685919e+05,7.4617705846e+04,-4.3778674674e-18,2.1643885886e+04,5.0131140184e-01,2.3625756339e-02,2.7000000000e+00
1,1,9,0.0000000000e+00,1.2755370019e+08,4.2040471014e+07,3.3511724652e+07,7.9700795580e+07,2.7856249399e+08,2.5076502447e+08,2.0000000000e+30,8.9884583543e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.8744551757e+02,4.5166154100e+00,2.3996619000e-01,1.6831786960e+00,8.0737642800e-01,5.5519999762e-06,0.0000000000e+00,1.0281091480e+00,0.0000000000e+00,1.9588683234e+01,-5.0373248470e+05,7.4685393720e+04,-6.5252675821e-18,2.1880916214e+04,5.0175922008e-01,2.3794261201e-02,2.7000000000e+00
1,1,10,0.0000000000e+00,1.0553660654e+08,3.8387342285e+07,2.7827664963e+07,1.0261744944e+08,2.4378784259e+08,2.2517498858e+08,2.0000000000e+30,8.9798224463e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.9184066484e+02,4.3944343490e+00,2.3586160200e-01,1.6759312260e+00,6.8526648700e-01,9.8639999919e-06,0.0000000000e+00,1.0288625670e+00,0.0000000000e+00,3.9559748234e+01,-5.0369699400e+05,7.4825189113e+04,-4.6030319719e-18,2.2107095020e+04,5.0269209226e-01,2.3972726088e-02,2.7000000000e+00
1,1,11,0.0000000000e+00,8.6914431336e+07,3.8194350652e+07,2.3472172822e+07,1.1297941288e+08,2.3104200122e+08,2.0099136337e+08,2.0000000000e+30,8.9560135864e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.9630878784e+02,4.4672795990e+00,2.3794449700e-01,1.6957386490e+00,7.5896188500e-01,5.8730000205e-06,0.0000000000e+00,1.0284896960e+00,0.0000000000e+00,5.5243956887e+01,-5.0365397586e+05,7.5123397918e+04,-5.5192896670e-18,2.2321920012e+04,5.0469060537e-01,2.4172580511e-02,2.7000000000e+00
1,1,12,0.0000000000e+00,7.1945517793e+07,3.8629460429e+07,2.0347937022e+07,1.1092872113e+08,2.2849134502e+08,1.8032818676e+08,2.0000000000e+30,8.9543856538e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.0072607345e+02,4.4165679480e+00,2.3378594500e-01,1.6796593450e+00,7.0398716200e-01,6.5710000001e-06,0.0000000000e+00,1.0287809620e+00,0.0000000000e+00,6.5103794009e+01,-5.0359122001e+05,7.5672104344e+04,-2.8533597893e-18,2.2525462102e+04,5.0837390394e-01,2.4412669990e-02,2.7000000000e+00
1,1,13,0.0000000000e+00,6.0056806785e+07,3.7958408250e+07,1.8641217163e+07,1.0234474966e+08,2.2673769220e+08,1.6305951149e+08,2.0000000000e+30,8.9373521853e-06,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.0515807040e+02,4.4311708300e+00,2.3937882500e-01,1.6791517540e+00,7.2289927400e-01,8.3260000281e-06,0.0000000000e+00,1.0292425360e+00,0.0000000000e+00,7.2442070070e+01,-5.0350775716e+05,7.6492145355e+04,-5.1898389379e-18,2.2718369061e+04,5.1388093234e-01,2.4721785883e-02,2.7000000000e+00
